Feature.name	Flowers_Col0_Rep1	Flowers_dne1_3_11_Rep1_1	Flowers_dne1_3_11_Rep1_2	Seedling_Col0_Rep1	Seedling_Col0_Rep2	Seedling_Col0_Rep3	Seedling_xrn4_Rep1	Seedling_xrn4_Rep2	Seedling_xrn4_Rep3	Seedling_xrn4_dne1_Rep1	Seedling_xrn4_dne1_Rep2	Seedling_xrn4_dne1_Rep3	dne1_3_11...Col0	xrn4...Col0	xrn4_dne1...Col0	xrn4_dne1...xrn4	ensembl_transcript_id	description	external_gene_name
AT3G61110.1	3.07328605200946	2.9029029029029	1.23249299719888	2.27272727272727	1.5748031496063	3.04568527918782	3.59712230215827	2.90322580645161	3.38983050847458	1.82648401826484	1.7921146953405	1.23076923076923	0.909227479287144	0.219169938557443	0.418545114715061	0.00304536465286643	AT3G61110.1	ribosomal protein S27 [Source:NCBI gene (formerly Entrezgene);Acc:825283]	RS27A
AT3G62080.2	3.3112582781457	19.2546583850932	2.89855072463768	5.66037735849057	6.30630630630631	6.2992125984252	13.0769230769231	14.0350877192982	16.8316831683168	7.5187969924812	9.52380952380952	11.2244897959184	0.924404398782839	1.72938165331359e-09	0.0285204789060141	0.00185071502860591	AT3G62080.2	SNF7 family protein [Source:NCBI gene (formerly Entrezgene);Acc:825381]	AT3G62080
AT4G10140.1	6.53266331658291	5.38172715894869	5.3072625698324	8.16326530612245	8.25688073394495	8.30449826989619	10.230179028133	9.44881889763779	13.946587537092	8.10055865921788	8.44444444444444	6.12813370473538	0	0.150073822148256	0.999999992989442	0.0393033984129058	AT4G10140.1	uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:826605]	AT4G10140
AT4G13500.1	5.25231719876416	6.3143445435827	3.96634615384615	4.28396572827417	3.88185654008439	4.23048869438366	5.18097941802697	5.31437125748503	5.08336722244815	4.58958517210944	4.04480398257623	4.63439752832132	0.99753512837212	5.50958122473718e-06	0.562031721786417	0.00306907269650903	AT4G13500.1	uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:826982]	AT4G13500
AT5G01015.1	3.47826086956522	4.54545454545455	3.87931034482759	5.79710144927536	6.18556701030928	4.41176470588235	10.0346020761246	6.61764705882353	13.9705882352941	6.34920634920635	3.76569037656904	2.36842105263158	0.562615364978927	0.18139205312561	0.997567540677993	0.0392990030838127	AT5G01015.1	uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:831731]	AT5G01015
AT5G01260.2	5.97014925373134	13.6842105263158	9.03225806451613	6.25	4.05405405405405	5.61797752808989	32.0512820512821	26	15.0684931506849	12.3287671232877	14.0845070422535	12.5	0.493649843534182	2.68850802489108e-05	0.0847103603067982	0.0398589120586462	AT5G01260.2	Carbohydrate-binding-like fold [Source:NCBI gene (formerly Entrezgene);Acc:831794]	AT5G01260
AT5G05990.1	7.38636363636364	7.87589498806683	5.47112462006079	7.3469387755102	6.80851063829787	7.82608695652174	11.0787172011662	14.2028985507246	13.3633633633634	10.4591836734694	10.2564102564103	7.23514211886305	0.970380203792205	7.38170774928538e-05	0.3485430973105	0.0380302400504229	AT5G05990.1	Mitochondrial glycoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:830486]	AT5G05990
AT5G16810.1	4.32692307692308	0.50761421319797	1.875	2.4390243902439	3.28638497652582	3.03030303030303	5.76131687242798	3.46153846153846	9.58083832335329	2.90909090909091	0.858369098712446	0.735294117647059	0.275001757632909	0.274853017259801	0.756508828601368	0.0395979944785947	AT5G16810.1	Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:831544]	AT5G16810
AT5G26610.1	3.8135593220339	3.5778175313059	3.01418439716312	3.94366197183099	3.79746835443038	2.4896265560166	5.36193029490617	3.93258426966292	6.71378091872791	3.38541666666667	1.92307692307692	3.06122448979592	0.73259068080669	0.194242316486166	0.973420437618131	0.0336615147459757	AT5G26610.1	D111/G-patch domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:832729]	AT5G26610
AT5G43745.1	8.57142857142857	7.6271186440678	3.88888888888889	5.51181102362205	4.08163265306122	6.2111801242236	19.3370165745856	10.4575163398693	14.1666666666667	8.67052023121387	6.30630630630631	7.90960451977401	0.849747371660933	0.000294551184025895	0.624687734168271	0.0162577280881387	AT5G43745.1	ion channel POLLUX-like protein, putative (DUF1012) [Source:NCBI gene (formerly Entrezgene);Acc:834395]	AT5G43745
AT5G44600.1	6.06060606060606	3.84615384615385	2.03045685279188	3.75	3.42465753424658	4.54545454545455	6.12244897959184	6.57894736842105	8.05860805860806	2.5	4.42477876106195	4.76190476190476	0.342651498221716	0.00901122301872961	0.999999992989442	0.00879240698137183	AT5G44600.1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:834488]	AT5G44600
AT5G58800.1	9.66542750929368	4.61538461538461	2.88065843621399	5.05050505050505	5.07246376811594	6.73076923076923	12.6168224299065	13.1979695431472	10.8695652173913	6.81818181818182	6.6079295154185	7.69230769230769	0.0123444922243353	2.48932818802672e-13	0.262569620701177	6.59067205127696e-08	AT5G58800.1	Quinone reductase family protein [Source:NCBI gene (formerly Entrezgene);Acc:835997]	AT5G58800
AT5G67500.1	2.95566502463054	5.11182108626198	2.36486486486486	8.80503144654088	7.89473684210526	7.25388601036269	6.42570281124498	7.63636363636364	10.3806228373702	5.53191489361702	2.77777777777778	4.46096654275093	0.969998922545441	0.999999992989442	0.0268742441978327	0.0198755243818533	AT5G67500.1	voltage dependent anion channel 2 [Source:NCBI gene (formerly Entrezgene);Acc:836886]	VDAC2
