Feature.name,Degradation_Tag,mean_prop_xrn4,mean_prop_xrn4_dne1,mean_cpm_xrn4,mean_cpm_xrn4_dne1
AT2G14750.1,Intact,0.737285458963897,0.735869017681056,128.967604418695,124.80494448214
AT2G14900.1,3'_truncated,0.00793826788430134,0.00464609452416672,0.813738240767176,0.482844809464057
AT2G14900.1,5'_truncated,0.0465442023348122,0.0469035556737397,5.08519522316155,4.72864522107984
AT2G14900.1,Intact,0.945517529780886,0.948450349802094,102.148864851917,95.0674335343551
AT2G15050.1,3'_truncated,0.00923095939221097,0.00950659594549523,1.05899483482075,1.53679763164424
AT2G15050.1,5'_truncated,0.063910940579849,0.0600105270864977,7.83006111750807,9.20654896534671
AT2G15050.1,Both_truncated,0,0.000957395883197702,0,0.197655684982694
AT2G15050.1,Intact,0.92685810002794,0.930163745006941,111.130178337316,138.262605550835
AT2G15890.1,3'_truncated,0.0163760699135475,0.0123350752233243,19.5628867041244,13.7597922551447
AT2G15890.1,5'_truncated,0.0981310124898891,0.101913578278744,118.280781439759,113.263238108236
AT2G15890.1,Both_truncated,0.0012047947331656,0.000939011997784327,1.40905553301186,0.940774594680097
AT2G15890.1,Intact,0.884288122863398,0.884812334500147,1074.54582894806,1012.39595327003
AT2G15960.1,3'_truncated,0.00276699396756249,0.00222151985325174,1.58786255089447,1.21583222079559
AT2G15960.1,5'_truncated,0.0415148217238827,0.0443043196526811,24.1166757332255,23.71982500811
AT2G15960.1,Both_truncated,0,0.000191514429690496,0,0.105438596305359
AT2G15960.1,Intact,0.955718184308555,0.953346484207607,548.971545382948,517.396239307937
AT2G16280.1,3'_truncated,0.0712136136825248,0.0571220907136865,8.47331174966002,7.06842122754511
AT2G16280.1,5'_truncated,0.273796190849348,0.251327254465161,32.5637502448464,30.4995957569551
AT2G16280.1,Both_truncated,0.00627302371396766,0.0131635531483248,0.736974020998212,1.61207311583256
AT2G16280.1,Intact,0.64871717175416,0.678387101672828,77.0704237614795,82.463452422653
AT2G16600.1,3'_truncated,0.00927177190079056,0.00891657173413926,22.6403305565688,18.5783077947196
AT2G16600.1,5'_truncated,0.0471993677998858,0.0491224354688695,119.347093357494,103.708859555359
AT2G16600.1,Both_truncated,0.000590039338671847,0.000609115160870051,1.60806501396097,1.29358776955791
AT2G16600.1,Intact,0.942938820960652,0.941351877636121,2299.50850634902,1978.29501532444
AT2G17360.1,3'_truncated,0.0127536199298892,0.00965640937265921,3.87495350463187,2.56052169279891
AT2G17360.1,5'_truncated,0.178312990352178,0.192025374243857,55.277494477989,51.1358075639007
AT2G17360.1,Both_truncated,0.00140352463480027,0.00135939335536654,0.430594796354571,0.367739477328621
AT2G17360.1,Intact,0.807529865083132,0.796958823028117,247.194166202729,213.9610815082
AT2G17380.1,3'_truncated,0.0350705211448919,0.036325598828482,4.76750636333444,4.84044971289227
AT2G17380.1,5'_truncated,0.0536148594307464,0.0408247735803833,7.63894947285653,5.33594011254229
AT2G17380.1,Both_truncated,0.0018001800180018,0.00232457362181571,0.223794728313759,0.340732023382212
AT2G17380.1,Intact,0.910714559418361,0.921299911843258,124.883094791159,122.243259664334
AT2G17390.1,3'_truncated,0.0357583350118386,0.0328025815223405,6.10338546929001,6.44718613444391
AT2G17390.1,5'_truncated,0.165316219676742,0.134279670953113,26.499421881755,26.7409160261957
AT2G17390.1,Both_truncated,0.00155158772032457,0.00314038281129884,0.307238964757672,0.621901613529837
AT2G17390.1,Intact,0.797373857591095,0.829777364713248,150.512312273309,167.970212635096
AT2G17560.1,3'_truncated,0.00378208008847545,0.00761923608136415,0.542640992768,0.821085289520564
AT2G17560.1,5'_truncated,0.0567137883885557,0.0577118280773163,8.71737544789081,6.30336855353928
AT2G17560.1,Both_truncated,0.00117096018735363,0.000987166831194472,0.231632149615838,0.0988278424913471
