Feature.name	Estimate	Std.Error	z.value	p.value	comparaison	padj	Condition	xrn4	xrn4_dne1	delta_prop	diff	Change	Degradation_Tag
AT1G28250.1	0.437592199312519	0.110945437849143	3.94421084630385	8.00631931472395e-05	xrn4_dne1 - xrn4	0.0128555198787762	Seedling	0.0919396748343487	0.13296884231745	0.0410291674831017	significant	increase	5'_truncated
AT1G28510.1	-0.427486193044514	0.110055022066378	-3.88429519178764	0.00010262716006082	xrn4_dne1 - xrn4	0.0153342081657541	Seedling	0.139315509556851	0.0976539483786798	0.0416615611781715	significant	decrease	5'_truncated
AT1G28540.1	0.851054004647341	0.151645520263767	5.61212756675601	1.99854013338552e-08	xrn4_dne1 - xrn4	1.0632264816568e-05	Seedling	0.0694435738314633	0.148044067204125	0.0786004933726616	significant	increase	5'_truncated
AT1G35580.2	0.51802184388613	0.141588909430606	3.65863291107569	0.000253564230010772	xrn4_dne1 - xrn4	0.0303093776272876	Seedling	0.681823192239859	0.776194215550298	0.0943710233104389	significant	increase	5'_truncated
AT1G35780.1	-0.233992507646368	0.0313500184586758	-7.46387144731051	8.39328606616618e-14	xrn4_dne1 - xrn4	9.02949714998158e-11	Seedling	0.129043887259286	0.104863655247951	0.0241802320113348	significant	decrease	5'_truncated
AT1G53910.1	0.665577783155786	0.146025262071525	4.55796328466631	5.16520638149665e-06	xrn4_dne1 - xrn4	0.00142480231415746	Seedling	0.295116731749131	0.454840553769232	0.159723822020101	significant	increase	5'_truncated
AT1G54030.1	0.651836525810442	0.105828590905396	6.15936128633841	7.30389304592904e-10	xrn4_dne1 - xrn4	6.04425241446959e-07	Seedling	0.560583930500403	0.710257411245733	0.14967348074533	significant	increase	5'_truncated
AT1G57610.4	0.42821790313707	0.122926586665707	3.48352553139371	0.000494855918934389	xrn4_dne1 - xrn4	0.0493402177886891	Seedling	0.162132915603878	0.22941597026488	0.0672830546610016	significant	increase	5'_truncated
AT1G59218.1	0.255117394967446	0.0370836973129942	6.8795026777994	6.00608451861717e-12	xrn4_dne1 - xrn4	5.87395065920759e-09	Seedling	0.337808778376004	0.395868059500332	0.0580592811243272	significant	increase	5'_truncated
AT1G63740.2	0.495194455632607	0.130013881873832	3.80878140468994	0.000139653349335411	xrn4_dne1 - xrn4	0.0195115679500046	Seedling	0.610645933014354	0.725705639228788	0.115059706214434	significant	increase	5'_truncated
AT1G65520.1	0.562872082950428	0.124153172555047	4.5336906932512	5.79618889906541e-06	xrn4_dne1 - xrn4	0.00155888500440364	Seedling	0.251096953976932	0.37099074356627	0.119893789589338	significant	increase	5'_truncated
AT1G68910.3	0.693998606750163	0.174505843710141	3.97693619878377	6.98088851378564e-05	xrn4_dne1 - xrn4	0.0118618900085143	Seedling	0.222906748100269	0.360126824929457	0.137220076829188	significant	increase	5'_truncated
AT1G71950.1	-0.177790086452369	0.0408827340737395	-4.34878171630332	1.36895884284005e-05	xrn4_dne1 - xrn4	0.00327272427361628	Seedling	0.700718402214849	0.661152465420758	0.0395659367940908	significant	decrease	5'_truncated
AT1G73920.1	0.630893591172609	0.180099716597895	3.50302378643489	0.000460008382750843	xrn4_dne1 - xrn4	0.0471311445869863	Seedling	0.37426984687088	0.524541736785915	0.150271889915034	significant	increase	5'_truncated
AT1G76300.1	0.555833447511404	0.141609331711643	3.92511878131902	8.66869523237224e-05	xrn4_dne1 - xrn4	0.0137143857808618	Seedling	0.122413170211981	0.188978871613492	0.0665657014015106	significant	increase	5'_truncated
AT2G02360.1	-0.64224585713806	0.180119354176029	-3.56566822080874	0.000362930276563977	xrn4_dne1 - xrn4	0.0394384233866189	Seedling	0.23985511636125	0.139413009077643	0.100442107283607	significant	decrease	5'_truncated
AT2G02980.1	-0.523033290091817	0.143657977279538	-3.64082315508362	0.000271767764663089	xrn4_dne1 - xrn4	0.0316164401887698	Seedling	0.269706194363729	0.175154089621856	0.0945521047418729	significant	decrease	5'_truncated
AT2G04350.1	-0.646353507549371	0.0718913192020683	-8.99070311580506	0	xrn4_dne1 - xrn4	0	Seedling	0.460124429095538	0.303363464816971	0.156760964278566	significant	decrease	5'_truncated
AT2G15580.1	-0.442758565915078	0.11831000577703	-3.74235943111617	0.000182300512317379	xrn4_dne1 - xrn4	0.0239169379452484	Seedling	0.0706930855011327	0.048255208470824	0.0224378770303087	significant	decrease	5'_truncated
AT2G18170.1	0.747268243366149	0.200176127899407	3.73305374226076	0.000189172211291888	xrn4_dne1 - xrn4	0.0242275553461682	Seedling	0.306967670011148	0.468452985895874	0.161485315884726	significant	increase	5'_truncated
AT2G19950.2	0.570307999433888	0.158654564986277	3.59465231576045	0.000324825067913981	xrn4_dne1 - xrn4	0.0369905852109173	Seedling	0.172409199973631	0.276621113587335	0.104211913613704	significant	increase	5'_truncated
AT2G28190.1	-0.246142586029797	0.0672288130844275	-3.66126627463564	0.000250971752604912	xrn4_dne1 - xrn4	0.0303093776272876	Seedling	0.448329346092504	0.389139102328372	0.0591902437641319	significant	decrease	5'_truncated
AT2G28760.1	0.294538099849517	0.0808617956973531	3.64248774479241	0.000270015836820736	xrn4_dne1 - xrn4	0.0316164401887698	Seedling	0.151978567362344	0.191259660667236	0.0392810933048915	significant	increase	5'_truncated
AT2G29170.1	0.743635603882166	0.148468166780368	5.00872085921451	5.47929740468689e-07	xrn4_dne1 - xrn4	0.000196487604932072	Seedling	0.0270407486401812	0.0597021727231622	0.032661424082981	significant	increase	5'_truncated
AT2G29320.1	-0.568392731124423	0.120481339485442	-4.71768270133736	2.38546148678687e-06	xrn4_dne1 - xrn4	0.000733222704995803	Seedling	0.883480487711654	0.817538773107151	0.0659417146045028	significant	decrease	5'_truncated
AT2G30260.1	0.570730398992183	0.130116698739781	4.38629633644164	1.15297018499216e-05	xrn4_dne1 - xrn4	0.00281901210230584	Seedling	0.152502812564573	0.241772486772487	0.089269674207914	significant	increase	5'_truncated
AT2G30575.1	-0.680504787141039	0.179568193559687	-3.7896732915278	0.000150845549126144	xrn4_dne1 - xrn4	0.0205417268037855	Seedling	0.390030809859155	0.251025671444071	0.139005138415084	significant	decrease	5'_truncated
AT2G34340.1	0.958892091152172	0.213046937622775	4.50084897652931	6.76825838663575e-06	xrn4_dne1 - xrn4	0.00177592496886408	Seedling	0.0466533299991665	0.111977340035851	0.0653240100366842	significant	increase	5'_truncated
AT2G35190.1	0.730416219480568	0.128852799504238	5.66860962502054	1.43960947607269e-08	xrn4_dne1 - xrn4	8.60406596866111e-06	Seedling	0.0994586932252189	0.186871363625657	0.0874126704004377	significant	increase	5'_truncated
AT2G39480.1	1.16438454545502	0.240382792920097	4.84387643271146	1.27330137655868e-06	xrn4_dne1 - xrn4	0.000415096248758129	Seedling	0.696653895274585	0.874611801242236	0.177957905967651	significant	increase	5'_truncated
AT2G39725.2	0.805707932767192	0.0757646617945079	10.6343500212865	0	xrn4_dne1 - xrn4	0	Seedling	0.241973856481289	0.413826706463419	0.17185284998213	significant	increase	5'_truncated
