Feature.name	Estimate	Std.Error	z.value	p.value	comparaison	padj	Condition	Col0	xrn4	delta_prop	diff	Change	Degradation_Tag
AT3G13450.1	-0.29139705119058	0.091203625097877	-3.19501610684731	0.00139823036966535	xrn4 - Col0	0.0452789842692841	Seedling	0.215413469853361	0.172773733116199	0.0426397367371617	significant	decrease	3'_truncated
AT3G14440.1	-1.47358353734582	0.431850518222004	-3.41225372013631	0.000644281155628201	xrn4 - Col0	0.0256149602022281	Seedling	0.137637954009635	0.0423713021197298	0.0952666518899056	significant	decrease	3'_truncated
AT3G16060.1	0.6767794470061	0.159923643232925	4.23189112832044	2.31734581330745e-05	xrn4 - Col0	0.00169187311151565	Seedling	0.0875660281049644	0.167713866483048	0.0801478383780837	significant	increase	3'_truncated
AT3G16250.1	-0.732723645627122	0.0912804129889006	-8.02717277052875	8.88178419700125e-16	xrn4 - Col0	1.01899441265882e-12	Seedling	0.0193366227428675	0.00948317102096929	0.0098534517218982	significant	decrease	3'_truncated
AT3G17510.1	0.75203938838501	0.187635748807147	4.00797498965915	6.12416039207364e-05	xrn4 - Col0	0.00378331785451872	Seedling	0.0368622706190764	0.0735286173506708	0.0366663467315944	significant	increase	3'_truncated
AT3G18820.1	-0.387025643328987	0.111271507831236	-3.47820974904002	0.000504774773512073	xrn4 - Col0	0.0217280225838324	Seedling	0.0405282711222099	0.0275590444018415	0.0129692267203683	significant	decrease	3'_truncated
AT3G19970.1	-1.19131495188511	0.326497550378286	-3.64877148543635	0.000263497352069431	xrn4 - Col0	0.0125215812690509	Seedling	0.314020176893311	0.132418300653595	0.181601876239716	significant	decrease	3'_truncated
AT3G20630.1	0.691806562087899	0.181959365322646	3.80198381578878	0.000143542105878414	xrn4 - Col0	0.00778909900209149	Seedling	0.0799656306406547	0.146556598494641	0.0665909678539861	significant	increase	3'_truncated
AT3G22210.1	0.843254861092429	0.213038893678261	3.95822024106989	7.55103157066284e-05	xrn4 - Col0	0.00452554735402935	Seedling	0.00147830371887112	0.00385320524931548	0.00237490153044436	significant	increase	3'_truncated
AT3G23530.1	0.30946728823194	0.0815702912949604	3.79387254010039	0.000148315829616719	xrn4 - Col0	0.0078882412427276	Seedling	0.182362440426957	0.233004848927955	0.0506424085009984	significant	increase	3'_truncated
AT3G24520.1	-1.19400734730794	0.183845974443063	-6.49460697154249	8.32505175907272e-11	xrn4 - Col0	3.03902230350514e-08	Seedling	0.121030017698136	0.038264376788967	0.0827656409091692	significant	decrease	3'_truncated
AT3G25940.1	-0.6234294397384	0.142753289239687	-4.36718091091857	1.25860475153061e-05	xrn4 - Col0	0.00100077769896459	Seedling	0.0381382885676574	0.0228334189237448	0.0153048696439126	significant	decrease	3'_truncated
AT3G26490.1	-0.679695002778343	0.147585636271728	-4.60542787190292	4.11618640772105e-06	xrn4 - Col0	0.000388906976945973	Seedling	0.15166511048864	0.0800686038956133	0.0715965065930266	significant	decrease	3'_truncated
AT3G26600.2	0.326349424452615	0.084261337485348	3.8730624767185	0.000107476261984818	xrn4 - Col0	0.00612157347517782	Seedling	0.134874724014108	0.179693040979961	0.0448183169658531	significant	increase	3'_truncated
AT3G27770.1	-0.756958693304899	0.181275556248541	-4.17573504652254	2.97025378697136e-05	xrn4 - Col0	0.00209246562834798	Seedling	0.278104969965435	0.151062142506062	0.127042827459373	significant	decrease	3'_truncated
AT3G28220.1	-0.649860679327107	0.113682701581292	-5.71644296175003	1.08776958551715e-08	xrn4 - Col0	2.36104798413196e-06	Seedling	0.0835913178428259	0.0437023533241075	0.0398889645187184	significant	decrease	3'_truncated
AT3G28300.1	-0.304572403574304	0.088098986587706	-3.4571612611127	0.000545898069589823	xrn4 - Col0	0.0227155823672325	Seedling	0.052379267118085	0.0407276799069708	0.0116515872111142	significant	decrease	3'_truncated
AT3G28910.1	-0.788449805653283	0.160757941529527	-4.90457764108946	9.36285822872307e-07	xrn4 - Col0	0.000117489241304492	Seedling	0.473258200261796	0.296033371863889	0.177224828397907	significant	decrease	3'_truncated
AT3G42790.1	0.450347031215653	0.138016835040411	3.26298622254157	0.00110244879261945	xrn4 - Col0	0.0388323081295035	Seedling	0.0212126848563005	0.0334537953115946	0.012241110455294	significant	increase	3'_truncated
AT3G45140.1	-0.71665715218856	0.197625144260058	-3.62634600405655	0.000287460119739569	xrn4 - Col0	0.0133444637088351	Seedling	0.232887439663141	0.127524577405383	0.105362862257758	significant	decrease	3'_truncated
AT3G46220.2	-0.209378910944832	0.0646494101760947	-3.23868246244656	0.00120083183948094	xrn4 - Col0	0.0413900450767015	Seedling	0.294992499500095	0.257468098844077	0.0375244006560184	significant	decrease	3'_truncated
AT3G46630.1	-0.793656213365281	0.159664318448901	-4.9707800783259	6.6684055188837e-07	xrn4 - Col0	8.92566078702583e-05	Seedling	0.157390845716382	0.0804319202916131	0.0769589254247692	significant	decrease	3'_truncated
AT3G47620.1	-0.97450419252963	0.308392030159011	-3.1599525838173	0.00157794816431789	xrn4 - Col0	0.0487403911832191	Seedling	0.0254007202767114	0.0102620279449548	0.0151386923317567	significant	decrease	3'_truncated
AT3G49310.1	-0.591092775952475	0.0720240847478775	-8.20687660275882	2.22044604925031e-16	xrn4 - Col0	2.97206703692154e-13	Seedling	0.160999722922877	0.0980422583095556	0.0629574646133215	significant	decrease	3'_truncated
AT3G49320.1	-1.16957983089235	0.368619927836532	-3.1728611031876	0.00150944719107859	xrn4 - Col0	0.0469859317502023	Seedling	0.0927059460147696	0.0288778116249731	0.0638281343897965	significant	decrease	3'_truncated
AT3G50360.1	-0.870975272713451	0.261238193339723	-3.33402731652184	0.000855982509203379	xrn4 - Col0	0.0319739327042434	Seedling	0.101477214599507	0.0467462132813891	0.0547310013181174	significant	decrease	3'_truncated
AT3G50660.1	-0.611083744777256	0.155258768749851	-3.93590487479532	8.28838010178412e-05	xrn4 - Col0	0.00485868471514075	Seedling	0.323643662334886	0.207742069705953	0.115901592628933	significant	decrease	3'_truncated
AT3G50845.1	-0.710140570647379	0.15573675385578	-4.559877826303	5.11833899019543e-06	xrn4 - Col0	0.000461858207081567	Seedling	0.266061827956989	0.144861567815532	0.121200260141457	significant	decrease	3'_truncated
AT3G51010.1	1.01099785058163	0.202746244880598	4.98651825180304	6.14771012541482e-07	xrn4 - Col0	8.51245862365628e-05	Seedling	0.00500078378575716	0.0129820456686326	0.00798126188287541	significant	increase	3'_truncated
AT3G51310.1	-0.410788092993369	0.0651040604024608	-6.30971540721049	2.79549050574701e-10	xrn4 - Col0	9.35441010485594e-08	Seedling	0.278434537933896	0.204290666706261	0.0741438712276352	significant	decrease	3'_truncated
