Feature.name	Estimate	Std.Error	z.value	p.value	comparaison	padj	Condition	xrn4	xrn4_dne1	delta_prop	diff	Change	Degradation_Tag
AT1G70350.1	0.73431533558669	0.21851225283857	3.36052246978195	0.000777952024164197	xrn4_dne1 - xrn4	0.0388848478963383	Seedling	0.0064200511689233	0.0142454121236595	0.00782536095473623	significant	increase	3'_truncated
AT1G70610.1	-0.667021384873455	0.178448209021156	-3.73789901581123	0.00018556444648854	xrn4_dne1 - xrn4	0.0133650235592966	Seedling	0.332477056098209	0.196324546838245	0.136152509259963	significant	decrease	3'_truncated
AT1G71070.1	-0.670428799758391	0.162227845786908	-4.13263701127502	3.58624857865752e-05	xrn4_dne1 - xrn4	0.00360477096142642	Seedling	0.0829254388077918	0.0439243498817967	0.0390010889259951	significant	decrease	3'_truncated
AT1G71720.1	-0.435605110408895	0.11282228451639	-3.86098466518475	0.000112930991859939	xrn4_dne1 - xrn4	0.00939072529584417	Seedling	0.154244342631674	0.105386492039034	0.0488578505926398	significant	decrease	3'_truncated
AT1G74680.1	0.667451610088076	0.151341012203175	4.4102494120498	1.03251627241452e-05	xrn4_dne1 - xrn4	0.00121082389022764	Seedling	0.139022400820154	0.244601554365611	0.105579153545457	significant	increase	3'_truncated
AT1G77230.1	0.470637845020699	0.124919702350122	3.76752294607305	0.00016487539020571	xrn4_dne1 - xrn4	0.0122610991399319	Seedling	0.363576806370118	0.481461068831283	0.117884262461165	significant	increase	3'_truncated
AT1G78150.2	-0.508801572593843	0.0564281107113253	-9.0168103482459	0	xrn4_dne1 - xrn4	0	Seedling	0.0789527411263816	0.0493086903940551	0.0296440507323265	significant	decrease	3'_truncated
AT1G78920.1	-0.395432133380402	0.0849819959297251	-4.65312833682325	3.26936621086737e-06	xrn4_dne1 - xrn4	0.000460075272781598	Seedling	0.371417608513688	0.276617083197813	0.0948005253158748	significant	decrease	3'_truncated
AT1G79230.1	-0.510003014625027	0.150838080906345	-3.38112903293756	0.000721886349816403	xrn4_dne1 - xrn4	0.0370960361897227	Seedling	0.0741312202328611	0.0446537044921075	0.0294775157407536	significant	decrease	3'_truncated
AT2G01140.1	0.323716921052902	0.0884557500956537	3.65964813709503	0.000252561806040053	xrn4_dne1 - xrn4	0.0163842754599175	Seedling	0.0150010258545864	0.0204535080260513	0.0054524821714648	significant	increase	3'_truncated
AT2G02180.1	-0.406047281568377	0.123537474611103	-3.28683488833342	0.00101320221475643	xrn4_dne1 - xrn4	0.0468068720120052	Seedling	0.0904634236802879	0.0614880396423335	0.0289753840379544	significant	decrease	3'_truncated
AT2G14247.1	0.928188059796977	0.257559256409608	3.60378451442971	0.000313617095478058	xrn4_dne1 - xrn4	0.019124370482252	Seedling	0.0016767508632363	0.0045271490572534	0.0028503981940171	significant	increase	3'_truncated
AT2G18220.1	0.635988766719997	0.152375463780494	4.17382661841264	2.99525736737749e-05	xrn4_dne1 - xrn4	0.00311336581129567	Seedling	0.168586664762143	0.278679653679654	0.110092988917511	significant	increase	3'_truncated
AT2G19540.1	-0.383958902887201	0.113627406961689	-3.37910468217105	0.000727223115333908	xrn4_dne1 - xrn4	0.0371615074634595	Seedling	0.102037278613533	0.0709925007878998	0.031044777825633	significant	decrease	3'_truncated
AT2G19600.1	0.710142857282851	0.193458142750345	3.67078297758332	0.000241808593047343	xrn4_dne1 - xrn4	0.0157987371471718	Seedling	0.103735908669069	0.193736744432662	0.090000835763593	significant	increase	3'_truncated
AT2G19640.2	1.24238503423634	0.265991031241567	4.67077791471861	3.00061214852931e-06	xrn4_dne1 - xrn4	0.000428853114415588	Seedling	0.0224763057336135	0.0707186544342508	0.0482423487006373	significant	increase	3'_truncated
AT2G20010.2	-0.832788029571658	0.151622216639424	-5.4925198168823	3.96239072664173e-08	xrn4_dne1 - xrn4	1.29442814202114e-05	Seedling	0.223620525399415	0.111050061050061	0.112570464349354	significant	decrease	3'_truncated
