Feature.name	Estimate	Std.Error	z.value	p.value	comparaison	padj	Condition	Col0	xrn4	delta_prop	diff	Change	Degradation_Tag
AT3G02640.1	0.474671740824636	0.102965159524781	4.61002287584857	4.02624665274409e-06	xrn4 - Col0	0.00106730046983313	Seedling	0.904996229260935	0.939709196230125	0.03471296696919	significant	increase	Intact
AT3G06910.1	0.504153863138196	0.132072619339588	3.81724740267249	0.000134948833604875	xrn4 - Col0	0.0160610689120082	Seedling	0.30504640395273	0.418809935382969	0.113763531430239	significant	increase	Intact
AT3G11120.1	0.772888599090682	0.124334867514287	6.21618548796756	5.09385866820367e-10	xrn4 - Col0	3.37577290882811e-07	Seedling	0.969076753455026	0.985851340597581	0.0167745871425554	significant	increase	Intact
AT3G12930.1	0.825135569062945	0.150942241217261	5.46656497484539	4.58840283545925e-08	xrn4 - Col0	2.12856007536955e-05	Seedling	0.616791108893878	0.776674957998605	0.159883849104727	significant	increase	Intact
AT3G13520.1	0.774858957572806	0.137937393973637	5.61746844166782	1.93775551160513e-08	xrn4 - Col0	1.05755856686308e-05	Seedling	0.966819489392305	0.983395933129871	0.016576443737566	significant	increase	Intact
AT3G15090.1	-0.741463317269758	0.201185790460291	-3.68546563638203	0.000228284883930119	xrn4 - Col0	0.0243451396908465	Seedling	0.732900769003254	0.576339545719278	0.156561223283976	significant	decrease	Intact
AT3G17210.1	0.630382023808452	0.0980462973043501	6.42943222885464	1.28081545369696e-10	xrn4 - Col0	9.90283814950033e-08	Seedling	0.935665039234809	0.963997612462557	0.0283325732277475	significant	increase	Intact
AT3G18960.1	0.870513188706573	0.227849117122673	3.82056862760584	0.000133144349698799	xrn4 - Col0	0.0160610689120082	Seedling	0.727329262777024	0.865876699928424	0.1385474371514	significant	increase	Intact
AT3G24520.1	-0.612372573164753	0.163408560465331	-3.74749383643628	0.000178610224279785	xrn4 - Col0	0.0202090934252176	Seedling	0.561820764891322	0.404679503859832	0.157141261031491	significant	decrease	Intact
AT3G29280.2	0.584494689277862	0.149299526275206	3.91491322082599	9.04367289271679e-05	xrn4 - Col0	0.0125234622535263	Seedling	0.836962922352177	0.901282523318606	0.0643196009664292	significant	increase	Intact
