Feature.name	Estimate	Std.Error	z.value	p.value	comparaison	padj	Condition	Col0	xrn4	delta_prop	diff	Change	Degradation_Tag
AT4G08685.1	0.655223647265365	0.0881802266045669	7.43050536945921	1.0813572259849e-13	xrn4 - Col0	1.84948130884284e-10	Seedling	0.762556561085973	0.857204330106362	0.0946477690203896	significant	increase	Intact
AT4G16444.1	0.498645592719464	0.132105110723583	3.77461242784794	0.000160256621715371	xrn4 - Col0	0.0235137249186219	Seedling	0.834745099996672	0.893748284718409	0.0590031847217368	significant	increase	Intact
AT4G17540.1	0.623525333638646	0.128258655369621	4.86146788177178	1.16518487880413e-06	xrn4 - Col0	0.000459889508703382	Seedling	0.752280517933824	0.849709219478593	0.0974287015447687	significant	increase	Intact
AT4G21870.1	0.951500090970789	0.133551245794107	7.12460662806316	1.04383168775257e-12	xrn4 - Col0	1.33897509746461e-09	Seedling	0.708207780047668	0.86708192725999	0.158874147212322	significant	increase	Intact
AT4G34700.1	0.5911811369797	0.156629203453638	3.77439917936306	0.0001603937579715	xrn4 - Col0	0.0235137249186219	Seedling	0.882463471118442	0.930626905474784	0.048163434356342	significant	increase	Intact
AT5G01350.1	0.553648437988079	0.13530920951303	4.09172768047812	4.2817127981376e-05	xrn4 - Col0	0.00891272379586502	Seedling	0.883960424544366	0.929682135250388	0.0457217107060219	significant	increase	Intact
AT5G08040.1	1.38857901990911	0.363777779411356	3.81710785676912	0.000135025153603863	xrn4 - Col0	0.0216504394731694	Seedling	0.930765137553907	0.980635068902217	0.0498699313483099	significant	increase	Intact
AT5G11500.2	0.347047120184906	0.0878866333883836	3.94880434947662	7.85425116593963e-05	xrn4 - Col0	0.0149259861971986	Seedling	0.628589704736781	0.706943343199684	0.0783536384629029	significant	increase	Intact
AT5G11970.1	0.571049438454618	0.139673703442434	4.08845347678473	4.34258614103733e-05	xrn4 - Col0	0.00891272379586502	Seedling	0.91789364187167	0.95044318196658	0.0325495400949108	significant	increase	Intact
AT5G18800.2	0.658690760637143	0.147609467260904	4.46238830652297	8.10511785398482e-06	xrn4 - Col0	0.00277249064725307	Seedling	0.933507736577912	0.964959787469721	0.0314520508918094	significant	increase	Intact
AT5G20500.1	0.721210177436023	0.135943567897007	5.30521736771264	1.12538810936869e-07	xrn4 - Col0	5.24942399015521e-05	Seedling	0.845420630376936	0.918569433167524	0.0731488027905874	significant	increase	Intact
AT5G38430.1	-1.32951466919578	0.360741454177254	-3.68550565453591	0.000228249014159188	xrn4 - Col0	0.0300293767089946	Seedling	0.90108878850456	0.752218433664275	0.148870354840285	significant	decrease	Intact
AT5G39850.1	0.305269873993039	0.082125908106778	3.71709587181837	0.000201525984478312	xrn4 - Col0	0.0272113112199532	Seedling	0.845447591918552	0.881396126466214	0.0359485345476619	significant	increase	Intact
AT5G59480.1	0.942099604541974	0.233795211081393	4.02959325036812	5.58734483131484e-05	xrn4 - Col0	0.0110264101267217	Seedling	0.634065768112659	0.817290221779713	0.183224453667054	significant	increase	Intact
AT5G66052.1	1.31761098584364	0.320203365766885	4.11491922543653	3.87315022249979e-05	xrn4 - Col0	0.00864049295288974	Seedling	0.867006835511608	0.951046429500762	0.0840395939891545	significant	increase	Intact
AT5G67490.1	0.601135755818437	0.166901956221174	3.60172983845575	0.000316106776393932	xrn4 - Col0	0.0395596065774942	Seedling	0.829913170637857	0.900822406746714	0.0709092361088574	significant	increase	Intact
AT1G08930.1	-0.941943689649848	0.0864279468887784	-10.8986007831704	0	xrn4 - Col0	0	Seedling	0.485884252224875	0.276145004915567	0.209739247309308	significant	decrease	5'_truncated
AT1G17290.1	0.672893339688323	0.118907544205375	5.6589625509893	1.5229077776624e-08	xrn4 - Col0	2.00490808929255e-05	Seedling	0.717657030417844	0.833406758420699	0.115749728002855	significant	increase	5'_truncated
AT1G23750.1	0.471783781419153	0.107963596219528	4.3698412978005	1.24336867048935e-05	xrn4 - Col0	0.00436505294586462	Seedling	0.043070248307508	0.0675905322625638	0.0245202839550558	significant	increase	5'_truncated
AT1G70320.1	-0.290324400038832	0.0758882701922478	-3.82568214169796	0.000130410469919129	xrn4 - Col0	0.0300903160993984	Seedling	0.735395702570072	0.679170008922975	0.0562256936470971	significant	decrease	5'_truncated
