Feature.name	Estimate	Std.Error	z.value	p.value	comparaison	padj	Condition	xrn4	xrn4_dne1	delta_prop	diff	Change	Degradation_Tag
AT2G19730.2	0.891642131792811	0.172389833837968	5.17224311864514	2.31300362418807e-07	xrn4_dne1 - xrn4	6.51496020812973e-05	Seedling	0.000223331587418307	0.000554585087618221	0.000331253500199915	significant	increase	Both_truncated
AT2G23460.1	-1.67092411262666	0.367556760077923	-4.54603014857465	5.4667209190562e-06	xrn4_dne1 - xrn4	0.000923875835320498	Seedling	0.0864092733174859	0.0186773194126135	0.0677319539048723	significant	decrease	Both_truncated
AT2G39770.1	0.643251150507646	0.138391578778756	4.64805124837833	3.35085672387159e-06	xrn4_dne1 - xrn4	0.000615537811232933	Seedling	0.00169638686136655	0.00335264609304568	0.00165625923167913	significant	increase	Both_truncated
AT3G01160.1	1.01295415288908	0.265305971452957	3.81806013389599	0.000134505144275376	xrn4_dne1 - xrn4	0.0138605910869138	Seedling	0.0191475673398299	0.050167079888991	0.0310195125491612	significant	increase	Both_truncated
AT3G10500.1	-1.69505294202029	0.139351654078318	-12.1638523290699	0	xrn4_dne1 - xrn4	0	Seedling	0.105418855305835	0.021684479903658	0.0837343754021774	significant	decrease	Both_truncated
AT3G13330.1	0.392750168298371	0.104574090361724	3.75571202139878	0.000172849358178961	xrn4_dne1 - xrn4	0.0157871979422294	Seedling	0.0923448659407563	0.131517792302106	0.0391729263613497	significant	increase	Both_truncated
AT3G15450.1	0.667573073257253	0.175818950384005	3.79693469787649	0.000146496360669657	xrn4_dne1 - xrn4	0.0143941191588209	Seedling	0.00385073039177149	0.00699558251319685	0.00314485212142537	significant	increase	Both_truncated
AT3G16260.1	0.451807290638957	0.113854300076241	3.96829360275729	7.23891146652278e-05	xrn4_dne1 - xrn4	0.00808250009301938	Seedling	0.0712632275132275	0.10855995483548	0.0372967273222522	significant	increase	Both_truncated
AT3G20410.1	1.23780769582667	0.325251625505859	3.80569257386961	0.000141407939295846	xrn4_dne1 - xrn4	0.0142249653220226	Seedling	0.0169549323439546	0.0605939438055678	0.0436390114616132	significant	increase	Both_truncated
AT3G22104.1	1.08177231769723	0.295271774729803	3.6636495943005	0.00024864688722448	xrn4_dne1 - xrn4	0.0205986882063417	Seedling	0.0148357561746536	0.0402280081099755	0.0253922519353219	significant	increase	Both_truncated
